index,timestep,plant,storage_start,storage_end
274,t0001,n4706_electricity/solar battery,0.0,0.0
275,t0001,n4707_electricity/solar battery,0.0,0.0
276,t0001,n4708_electricity/solar battery,0.0,0.0
277,t0001,n4709_electricity/solar battery,0.0,0.0
278,t0001,n4710_electricity/solar battery,0.0,0.0
279,t0001,n4711_electricity/solar battery,0.0,0.0
280,t0001,n4712_electricity/solar battery,0.0,0.0
281,t0001,n4713_electricity/solar battery,0.0,0.0
282,t0001,n4714_electricity/solar battery,0.0,0.0
283,t0001,n4715_electricity/solar battery,0.0,0.0
284,t0001,n4716_electricity/solar battery,0.0,0.0
285,t0001,n4717_electricity/solar battery,0.0,0.0
286,t0001,n4718_electricity/solar battery,0.0,0.0
287,t0001,n4719_electricity/solar battery,0.0,0.0
288,t0001,n4720_electricity/solar battery,0.0,0.0
289,t0001,n4721_electricity/solar battery,0.0,0.0
290,t0001,n4722_electricity/solar battery,0.0,0.0
291,t0001,n4723_electricity/solar battery,0.0,0.0
292,t0001,n4724_electricity/solar battery,0.0,0.0
293,t0001,n4725_electricity/solar battery,0.0,0.0
294,t0001,n4726_electricity/solar battery,0.0,0.0
295,t0001,n4727_electricity/solar battery,0.0,0.0
296,t0001,n4728_electricity/solar battery,0.0,0.0
297,t0001,n4729_electricity/solar battery,0.0,0.0
298,t0001,n4730_electricity/solar battery,0.0,0.0
299,t0001,n4731_electricity/solar battery,0.0,0.0
300,t0001,n4732_electricity/solar battery,0.0,0.0
301,t0001,n4733_electricity/solar battery,0.0,0.0
302,t0001,n4734_electricity/solar battery,0.0,0.0
303,t0001,n4735_electricity/solar battery,0.0,0.0
304,t0001,n4736_electricity/solar battery,0.0,0.0
305,t0001,n4737_electricity/solar battery,0.0,0.0
306,t0001,n4738_electricity/solar battery,0.0,0.0
307,t0001,n4739_electricity/solar battery,0.0,0.0
308,t0001,n4740_electricity/solar battery,0.0,0.0
309,t0001,n4741_electricity/solar battery,0.0,0.0
