index,node,mc_el,mc_heat,g_max,h_max,d_max,eta,availability,plant_type,heatarea,storage_capacity
p394,n5539,105.21469472991772,0,52.1141059674292,0.0,0.0,0.4244999999999992,1,conventional,,
p395,n5539,105.46469472991772,0,52.1141059674292,0.0,0.0,0.4244999999999992,1,conventional,,
p396,n5539,105.71469472991772,0,52.1141059674292,0.0,0.0,0.4244999999999992,1,conventional,,
p397,n5539,105.96469472991772,0,52.1141059674292,0.0,0.0,0.4244999999999992,1,conventional,,
p398,n4763,130.88645071720225,0,27.79418984929557,0.0,0.0,0.3267000000000002,1,conventional,,
p399,n3484,100.2874567808058,0,90.3311170102106,0.0,0.0,0.449349999999999,1,conventional,,
p400,n3484,122.04588406964037,0,69.48547462323893,0.0,0.0,0.3570499999999992,1,conventional,,
p401,n3484,119.98055822077482,0,79.21344107049238,0.0,0.0,0.3641499999999986,1,conventional,,
p402,n3484,117.99422934713836,0,112.56646888964708,0.0,0.0,0.3712499999999989,1,conventional,,
p403,n5552,115.36064452130934,0,20.98461333621816,0.0,0.0,0.3772999999999999,1,conventional,,
p404,n7261,90.84197897203414,0,65.31634614584459,0.0,0.0,0.506149999999999,1,conventional,,
p405,n3498,123.92568579021857,0,40.30157528147858,0.0,0.0,0.3476000000000003,1,conventional,,
p406,n3498,95.87663326878976,0,40.02363338298562,0.0,0.0,0.4741999999999988,1,conventional,,
p407,n3498,120.58802485493588,0,25.01477086436601,0.0,0.0,0.3586,1,conventional,,
p408,n4764,115.06924130845668,0,13.480182076908353,0.0,0.0,0.3784,1,conventional,,
p409,n7272,109.83763045952914,0,24.73682896587306,0.0,0.0,0.3993000000000002,1,conventional,,
p410,n4741,91.0086456387008,0,108.39734041225272,0.0,0.0,0.506149999999999,1,conventional,,
p412,n4544,100.95771650951112,0,617.0310146543617,1210.0,0.0,0.4457999999999993,1,conventional,,
p413,n5539,118.32756268047169,0,293.2287029100683,300.0,0.0,0.3712499999999989,1,conventional,,
p414,n4544,121.89821225313383,0,200.1181669149281,240.0,0.0,0.3542,1,conventional,,
p415,n4544,121.23907476576876,0,200.1181669149281,240.0,0.0,0.3564000000000002,1,conventional,,
p416,n4503,102.33077878028288,0,91.7208265026754,0.0,0.0,0.438699999999999,1,conventional,,
p417,n4750,119.94491457716182,0,31.963318326689908,0.0,0.0,0.3608000000000002,1,conventional,,
p418,n4750,95.28397316708556,0,52.1141059674292,0.0,0.0,0.4777499999999985,1,conventional,,
p419,n4750,124.2590191235519,0,56.97808919105592,0.0,0.0,0.3476000000000003,1,conventional,,
p420,n7682,98.3387494739132,0,147.30920620126653,110.0,0.0,0.4599999999999991,1,conventional,,
p421,n4675,112.2457582008731,0,28.76698649402092,0.0,0.0,0.3894000000000002,1,conventional,,
p422,n4677,109.57741152777216,0,61.14721766845026,0.0,0.0,0.4004000000000003,1,conventional,,
p423,n5667,146.3517098759888,0,30.712579783471607,0.0,0.0,0.2882000000000002,1,conventional,,
p424,n4657,109.98048760238628,0,132.02240178415397,0.0,0.0,0.3993000000000002,1,conventional,,
p425,n4556,114.20510901443534,0,50.02954172873203,0.0,0.0,0.3817000000000004,1,conventional,,
p426,n4534,102.44188989139398,0,222.35351879436456,0.0,0.0,0.438699999999999,1,conventional,,
p427,n4776,122.37921740297368,0,27.79418984929557,0.0,0.0,0.3570499999999992,1,conventional,,
p428,n4776,92.4480557076692,0,102.83850244239362,0.0,0.0,0.4954999999999989,1,conventional,,
p429,n4776,128.76595919575607,0,34.742737311619464,0.0,0.0,0.3357499999999991,1,conventional,,
p431,n5739,97.08897907734972,0,20.567700488478724,0.0,0.0,0.4670999999999994,1,conventional,,
p432,n5645,89.30209696253884,0,617.7258694005941,0.0,0.0,0.516799999999999,1,conventional,,
p433,n4855,113.6372742309716,0,15.842688214098477,0.0,0.0,0.3839000000000001,1,conventional,,
p434,n4731,101.08271650951112,0,18.76107814827451,0.0,0.0,0.4457999999999993,1,conventional,,
p435,n3318,97.70907872401058,0,166.76513909577343,350.0,0.0,0.4635499999999988,1,conventional,,
p436,n3318,112.79762080826448,0,66.01120089207699,0.0,0.0,0.3872,1,conventional,,
p437,n4676,104.47577758991964,0,14.17503682314074,0.0,0.0,0.4280499999999989,1,conventional,,
p438,n4676,111.97215871101146,0,1.2507385432183007,0.0,0.0,0.3905000000000003,1,conventional,,
